Year,Totals.Capital outlay,Totals.Revenue,Totals.Expenditure,Totals.General expenditure,Totals.General revenue,Totals.Insurance trust  revenue,Totals.Intergovernmental,Totals.License tax,Totals.Selective sales tax,Totals.Tax,Details.Correction.Correction Total,Details.Education.Education Total,Details.Financial Aid.Assistance and Subsidies,Details.Financial Aid.Cash and Securities Total,Details.Health.Health Total Expenditure,Details.Intergovernmental.Intergovernmental Expenditure,Details.Intergovernmental.Intergovernmental to Combined and Unallocable,Details.Natural Resources.Natural Resources Construction,Details.Utilities.Utilities Current Operation,Details.Welfare.Welfare Institution Total Expenditure,Details.Natural Resources.Parks.Parks Total Expenditure,Details.Transportation.Highways.Highways Total Expenditure,Totals. Debt at end of fiscal year,Details.Insurance benefits and repayments,Details.Interest on debt,Details.Interest on general debt,Details.Miscellaneous general revenue,Details.Other taxes,Details.Police protection,Compliance_Ratio,State_ALASKA,State_ARIZONA,State_ARKANSAS,State_CALIFORNIA,State_COLORADO,State_CONNECTICUT,State_DELAWARE,State_FLORIDA,State_GEORGIA,State_HAWAII,State_IDAHO,State_ILLINOIS,State_INDIANA,State_IOWA,State_KANSAS,State_KENTUCKY,State_LOUISIANA,State_MAINE,State_MARYLAND,State_MASSACHUSETTS,State_MICHIGAN,State_MINNESOTA,State_MISSISSIPPI,State_MISSOURI,State_MONTANA,State_NEBRASKA,State_NEVADA,State_NEW HAMPSHIRE,State_NEW JERSEY,State_NEW MEXICO,State_NEW YORK,State_NORTH CAROLINA,State_NORTH DAKOTA,State_OHIO,State_OKLAHOMA,State_OREGON,State_PENNSYLVANIA,State_RHODE ISLAND,State_SOUTH CAROLINA,State_SOUTH DAKOTA,State_TENNESSEE,State_TEXAS,State_UNITED STATES,State_UTAH,State_VERMONT,State_VIRGINIA,State_WASHINGTON,State_WEST VIRGINIA,State_WISCONSIN,State_WYOMING,Compliance_Label
1992,664748,0.008024955559328174,0.008708540207125432,8788293,8910315,1473217,2737180,395202,1103368,4217916,182698,3570524,273050,14594322,394119,2143312,518611,151432,5564374,1853436,9728,694874,4128724,724852,280179,280179,607453,205227,77789,0.2806433870665851,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1993,781952,0.008804742069787557,0.00934599529548389,9339796,9688246,1570768,2965310,377723,1324610,4639784,182217,3663465,306485,15506309,412456,2211563,527474,156698,5913144,2016935,11031,856228,4170084,761582,267648,267648,599988,224878,78320,0.29320793535485323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1994,767100,0.008996704297004266,0.009962973722779711,9922352,10014415,1454982,3077084,386771,1280747,4767108,216691,3969277,315344,16206051,487044,2349153,563733,169019,6370171,2167799,12053,883852,3853804,762811,250642,250642,643807,234592,86839,0.2686636214200172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1995,808001,0.00961854905390728,0.010745614714141767,10489513,10582838,1566923,3240417,480698,1280494,5077827,231357,4400912,303811,17373025,491648,2619713,565505,185903,6703955,2291264,10645,924411,3758726,912649,193752,193752,643469,232783,83482,0.2633319018894006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1996,760751,0.010040283377621795,0.01137536574419068,10991713,10894396,1710360,3347019,422841,1334829,5257771,220046,4872259,301698,18013799,514380,3076820,587074,173797,6782766,2325418,7788,881381,3645292,987710,216842,216842,649073,265426,86936,0.25509493437469666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1997,770809,0.011198064386222395,0.01225668502750302,11668841,11487011,2381696,3553541,424165,1360764,5484161,233870,5175279,282494,21639230,566651,3292491,625765,175948,7241270,2537627,16320,837255,3780493,1134137,223666,223666,669731,279304,93163,0.2746415613917931,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1998,755486,0.011962220782231574,0.013100613832935575,12475614,12433410,2268663,4021037,434433,1422930,5739128,257214,5362196,668076,23466316,554980,3419845,620254,180408,7575449,3027120,20222,882080,4166572,1107068,202507,202507,778771,268751,102178,0.274105310389279,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1999,851302,0.0125628409021097,0.014149118613132505,13289087,13093255,2262606,4281715,454177,1480248,6032234,282458,5751997,682036,24768728,588248,3631426,655661,202937,8068008,3195049,15401,921658,4467074,1271203,197963,197963,793813,308206,113709,0.2573817896681575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2000,1136551,0.013801800526302265,0.015409955124264237,14399604,14116821,2588130,4781099,541645,1526560,6438438,278856,6224938,726205,25953796,598894,3908350,770460,194417,8503158,3484564,11326,1076311,5291796,1322395,275930,275930,797887,353816,117831,0.26213176863981147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2001,1214496,0.01471876206144701,0.01632065817925293,15055914,15731646,1972924,5715592,432671,1585107,6747707,303759,6385451,783882,28094479,644288,3892653,712374,205794,9053735,3776253,15956,1163889,5577158,1505848,267537,267537,1052701,378117,124884,0.26604648698431344,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2002,1445150,0.01205201190986753,0.01769740129447243,16160326,15986065,-1204495,6275399,394973,1634833,6509765,331476,6811434,929215,25872581,718443,4095562,775302,230519,9609567,4110058,23155,1255800,6405164,1675057,241867,241867,914681,378394,128801,0.11807433018727964,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2003,1473974,0.015851092150979698,0.018208662981467227,17009944,16574756,2356008,6668784,399871,1585666,6416351,356928,7053792,1002597,28661435,762009,4074005,858560,225308,10379978,4531802,25422,1163904,6284640,1288155,252401,252401,1018207,388308,129591,0.24471405445014305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2004,1644475,0.017955997223639796,0.019364810247282878,17621702,17449427,3779920,6724211,397429,1783002,7018242,397943,7617223,1013301,32402674,814615,4164719,862584,237615,10740445,4568332,23014,1199566,6363885,1745203,236417,236417,1076592,409663,130234,0.28266541493231157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2012,1933244,0.025497271072136243,0.03150148299891343,27089980,23527080,5858261,9575193,517676,2351699,9049294,544531,11449337,1973275,27517759,498933,6604884,1500157,248089,16486557,7799839,27729,1468133,8719430,3475004,340153,340153,1141032,474571,119458,0.20017417181474573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
2013,2276020,0.026243369800687807,0.032114966435406164,27784838,24248330,5942462,9850561,490430,2376842,9270919,524014,11843255,2039078,30918531,455497,6507364,1482771,259423,16871926,7782431,21172,1578517,9094764,3335440,352891,352891,1195567,487249,119097,0.20548660143491748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
