TransactionID,UserID,Timestamp,TransactionAmount,TransactionType,AccountBalance,Anomaly
1,1051,2024-05-15 12:18:14.543492,2218.09,Loan Payment,1665.4270000000001,0
2,1092,2024-09-01 07:13:25.543492,1571.94,Deposit,1193.845,0
3,1014,2024-05-29 17:15:41.543492,4925.44,Withdrawal,-283.7869999999998,0
4,1071,2024-07-09 07:42:01.543492,4079.56,Withdrawal,940.0810000000001,0
5,1060,2024-11-21 22:18:44.543492,865.04,Deposit,680.5690000000002,0
6,1020,2024-03-17 19:00:10.543492,77.69,Loan Payment,703.8760000000002,0
7,1082,2024-10-14 21:02:55.543492,261.78,Withdrawal,782.4100000000001,0
8,1086,2024-03-05 23:11:08.543492,1258.11,Deposit,404.9770000000002,0
9,1074,2024-05-15 21:11:56.543492,615.74,Loan Disbursement,220.25500000000022,0
10,1074,2024-10-07 18:13:00.543492,2690.02,Deposit,-586.7509999999997,0
11,1087,2024-05-12 02:28:39.543492,4297.08,Loan Disbursement,-1875.875,0
12,1099,2024-10-28 15:17:05.543492,3696.91,Withdrawal,-766.8020000000001,0
13,1023,2024-03-03 08:07:11.543492,1117.26,Withdrawal,-1101.98,0
14,1002,2024-08-10 20:12:25.543492,2026.53,Withdrawal,-1709.9389999999999,0
15,1021,2024-12-11 21:07:19.543492,2564.08,Loan Payment,-2479.1629999999996,0
16,1052,2024-06-25 20:22:34.543492,4060.52,Loan Payment,-3697.3189999999995,0
17,1001,2024-07-05 07:34:40.543492,4203.65,Loan Disbursement,-2436.2239999999997,0
18,1087,2024-06-16 22:36:28.543492,4553.11,Deposit,-3802.1569999999992,0
19,1029,2024-04-15 20:27:44.543492,2570.76,Loan Disbursement,-4573.384999999999,0
20,1037,2024-04-09 00:41:29.543492,3486.66,Deposit,-3527.3869999999997,0
21,1001,2024-03-16 07:01:27.543492,603.41,Withdrawal,-3708.41,0
22,1063,2024-08-24 15:14:58.543492,2848.18,Deposit,-2853.956,0
23,1059,2024-02-24 16:37:03.543492,1281.02,Loan Payment,-2469.65,0
24,1020,2024-10-13 00:45:52.543492,2187.0,Deposit,-1813.5500000000002,0
25,1032,2024-08-08 06:44:54.543492,3188.55,Deposit,-856.9850000000001,0
26,1075,2024-08-18 08:33:30.543492,1322.08,Withdrawal,-1253.609,0
27,1057,2024-09-18 20:30:04.543492,308.32,Withdrawal,-1161.1129999999998,0
28,1021,2024-09-04 11:31:23.543492,100.66,Loan Payment,-1191.3109999999997,0
29,1088,2024-09-11 23:29:24.543492,159.69,Deposit,-1143.4039999999995,0
30,1048,2024-07-27 05:22:11.543492,91.33,Deposit,-1116.0049999999997,0
31,1090,2024-02-22 00:41:38.543492,596.26,Deposit,-1294.8829999999998,0
32,1058,2024-09-10 12:49:10.543492,1235.47,Withdrawal,-1665.524,0
33,1041,2024-03-13 00:46:16.543492,1145.05,Loan Payment,-1322.009,0
34,1091,2024-12-15 00:51:34.543492,4934.64,Deposit,-2802.401,0
35,1059,2024-04-08 11:26:17.543492,1564.73,Deposit,-2332.982,0
36,1079,2024-03-05 04:16:30.543492,680.73,Deposit,-2537.201,0
37,1014,2024-07-28 02:04:21.543492,2750.53,Deposit,-1712.042,0
38,1061,2024-05-23 17:09:06.543492,4296.89,Loan Payment,-3001.109,0
39,1061,2024-09-09 03:05:20.543492,3406.4,Loan Payment,-4023.0289999999995,0
40,1046,2024-04-02 13:49:28.543492,1515.61,Loan Payment,-3568.3459999999995,0
41,1061,2024-07-07 14:31:21.543492,2830.0,Withdrawal,-2719.3459999999995,0
42,1050,2024-06-13 01:47:44.543492,3588.54,Deposit,-1642.7839999999997,0
43,1054,2024-03-07 23:16:46.543492,3654.12,Deposit,-2739.0199999999995,0
44,1063,2024-09-30 16:15:54.543492,3349.37,Deposit,-3743.830999999999,0
45,1002,2024-03-31 17:50:12.543492,4360.51,Deposit,-2435.677999999999,0
46,1050,2024-06-14 21:52:54.543492,4357.02,Loan Disbursement,-3742.7839999999987,0
47,1006,2024-02-20 23:08:47.543492,2915.74,Loan Payment,-2868.061999999999,0
48,1020,2024-08-07 14:06:03.543492,2177.79,Loan Disbursement,-3521.3989999999994,0
49,1072,2024-05-18 07:29:46.543492,3225.77,Loan Disbursement,-4489.129999999999,0
50,1038,2024-12-27 13:56:40.543492,4100.15,Withdrawal,-5719.174999999999,0
51,1017,2024-12-17 15:16:41.543492,77.98,Withdrawal,-5695.780999999999,0
52,1003,2024-10-18 06:16:53.543492,4960.39,Deposit,-7183.897999999999,0
53,1088,2024-04-02 03:21:32.543492,955.32,Loan Disbursement,-7470.493999999999,0
54,1059,2024-03-06 11:55:18.543492,2377.73,Loan Disbursement,-8183.812999999998,0
55,1013,2024-04-30 23:29:56.543492,4366.55,Loan Payment,-9493.777999999998,0
56,1008,2024-11-17 11:47:49.543492,1163.95,Loan Disbursement,-9144.592999999999,0
57,1089,2024-08-02 09:10:15.543492,2410.14,Withdrawal,-9867.634999999998,0
58,1052,2024-10-25 12:41:13.543492,706.28,Loan Disbursement,-10079.518999999998,0
59,1001,2024-04-06 05:58:50.543492,2005.63,Withdrawal,-10681.207999999999,0
